Case #1:  5
Case #32:  1
Case #33:  118587876498 355763629494 592939382490 830115135486 1067290888482 1304466641478 1541642394474 1778818147470 2015993900449
Case #34:  10 27
Case #35:  281474976710657
Case #36:  3276800001 9830400003 16384000005 22937600007 29491200009 36044800011 42598400013 49152000015 55705600017 62259200019 68812800021 75366400023 81920000025 88473600027 95027200029 101580800031 108134400033 114688000035 121241600037 127795200039 134348800041 140902400043 147456000045 154009600047 160563200049 167116800051 173670400053 180224000055 186777600057 193331200059 199884800061 206438400063 212992000065 219545600067 226099200069 232652800071 239206400073 245760000075 252313600077 258867200079
Case #37:  21381377 64144131 106906885 149669639 192432393 235195147 277957901 320720655 363483409 406246163 449008917 491771671 534534425 577297179 620059933 662822687 705585441 748348195 791110949 833873703 876636457 919399211 962161965 1004924719 1047687473 1090450227 1133212981 1175975735 1218738489 1261501243 1304263997 1347026751 1389789505 1432552259
Case #38:  72057594037927937 216172782113783811
Case #39:  1 2 3 4 5 6 7 8
Case #40:  457163239653377 1371489718960131 2285816198266885 3200142677573639 4114469156880393 5028795636187147 5943122115493901 6857448594800655 7771775074107409 8686101553414163 9600428032720917 10514754512027671 11429080991334425 12343407470641179 13257733949947933 14172060429254687 15086386908561441 16000713387868195 16915039867174949 17829366346481703 18743692825788457 19658019305095211 20572345784401965 21486672263708719 22400998743015473 23315325222322227 24229651701628981 25143978180935735 26058304660242489 26972631139549243 27886957618855997 28801284098162751 29715610577469505 30629937056776259
Case #41:  10001 30003 50005 70007 90009
Case #42:  91126 273378 455630 637882 820134 1002386 1184638 1366890 1549142 1731394 1913646 2095898 2278150 2460402 2642654 2824906 3007158 3189410 3371662 3553914 3736166 3918418 4100625
Case #43:  1
Case #44:  1
Case #45:  62742242 188226726 313711210 439195694 564680178 690164662 815649146 941133630 1066618114 1192102598 1317587082 1443071566 1568556050 1694040534 1819525018 1945009502 2070493986 2195978470 2321462954 2446947438 2572431922 2697916406 2823400890 2948885374 3074369858 3199854342 3325338826 3450823310 3576307794 3701792278 3827276762 3952761246 4078245730 4203730214 4329214698 4454699182 4580183666 4705668150 4831152634 4956637118 5082121602 5207606086 5333090570 5458575054 5584059449
Case #46:  10000000000000001 30000000000000003 50000000000000005 70000000000000007 90000000000000009 110000000000000011 130000000000000013 150000000000000015 170000000000000017 190000000000000019 210000000000000021 230000000000000023 250000000000000025 270000000000000027 290000000000000029 310000000000000031 330000000000000033 350000000000000035 370000000000000037 390000000000000039 410000000000000041 430000000000000043 450000000000000045 470000000000000047 490000000000000049 510000000000000051 530000000000000053 550000000000000055 570000000000000057 590000000000000059 610000000000000061 630000000000000063 650000000000000065 670000000000000067 690000000000000069 710000000000000071 730000000000000073 750000000000000075 770000000000000077 790000000000000079 810000000000000081 830000000000000083 850000000000000085 870000000000000087 890000000000000089 910000000000000091 930000000000000093 950000000000000095 970000000000000097 990000000000000099
Case #47:  7529537 22588611 37647685 52706759 67765833 82824907 97883981
Case #48:  3
Case #49:  30 90 150 210 270 330 390 450 510 570 630 690 750 810 841
Case #50:  1953126 5859378 9765625
Case #51:  150094635296999137 450283905890997376
Case #52:  15625000001 46875000003 78125000005 109375000007 140625000009 171875000011 203125000013 234375000015 265625000017 296875000019 328125000021 359375000023 390625000025 421875000027 453125000029 484375000031 515625000033 546875000035 578125000037 609375000039 640625000041 671875000043 703125000045 734375000047 765625000049
Case #53:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
Case #54:  658504 1975512 3292520 4609528 5926536 7243544 8560552 9877560 11194568 12511576 13828584 15145592 16462600 17779608 19096616 20413624 21730632 23047640 24364648 25681656 26998664 28315672 29632680 30949688 32266696 33583704 34900712 36217720 37534728 38851736 40168744 41485752 42802760 44119768 45436776 46753784 48070792 49387800 50704808 52021816 53338824 54655832 55972840 57289761
Case #55:  7625597484988 22876792454964 38127987424940 53379182394916 68630377364892 83881572334868 99132767304844 114383962274820 129635157244796 144886352214772 160137547184748 175388742154724 190639937124700 205891132094649
Case #56:  1 2 3
Case #57:  101 303 505 707 909 1111 1313 1515 1717 1919 2121 2323 2525 2727 2929 3131 3333 3535 3737 3939 4141 4343 4545 4747 4949 5151 5353 5555 5757 5959 6161 6363 6565 6767 6969 7171 7373 7575 7777 7979 8181 8383 8585 8787 8989 9191 9393 9595 9797 9999
Case #58:  288230376151711745
Case #59:  79508 238524 397540 556556 715572 874588 1033604 1192620 1351636 1510652 1669668 1828684 1987700 2146716 2305732 2464748 2623764 2782780 2941796 3100812 3259828 3418801
Case #60:  20047612231937 60142836695811 100238061159685 140333285623559 180428510087433 220523734551307 260618959015181 300714183479055 340809407942929 380904632406803 420999856870677 461095081334551 501190305798425 541285530262299 581380754726173 621475979190047 661571203653921 701666428117795 741761652581669 781856877045543 821952101509417 862047325973291 902142550437165
Case #61:  10 30 50 70 81
Case #62:  26559922791425 79679768374275 132799613957125 185919459539975 239039305122825 292159150705675 345278996288525 398398841871375 451518687454225 504638533037075 557758378619925
Case #63:  387420490 1162261467
Case #64:  1
Case #65:  7837433594376962 23512300783130886 39187167971884810 54862035160638734 70536902349392658 86211769538146582 101886636726900506 117561503915654430 133236371104408354 148911238293162278 164586105481916202 180260972670670126 195935839859424050 211610707048177974 227285574236931898 242960441425685822 258635308614439746 274310175803193670 289985042991947594 305659910180701518 321334777369455442 337009644558209366 352684511746963290 368359378935717214 384034246124471138 399709113313225062 415383980501978986 431058847690732910 446733714879486834 462408582068240758 478083449256994682 493758316445748606 509433183634502530 525108050823256454 540782918012010378 556457785200764302 572132652389518226 587807519578272150 603482386767026074 619157253955779998 634832121144533922 650506988333287846 666181855522041770 681856722710795694 697531589899549618 713206457088303542 728881324277057466 744556191465811390 760231058654565248
Case #66:  1
Case #67:  1792160394038 5376481182114 8960801970190 12545122758266 16129443546342 19713764334418 23298085122481
Case #68:  322687697780 968063093340 1613438488900 2258813884460 2904189280020 3549564675580 4194940071140 4840315466700 5485690862260 6131066257801
Case #69:  65 195
Case #70:  1
Case #71:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
Case #72:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
Case #73:  100000000000000001 300000000000000003 500000000000000005 700000000000000007 900000000000000009
Case #74:  3010936385 9032809155 15054681925 21076554695 27098427465 33120300235 39142173005 45164045775 51185918545 57207791315 63229664085 69251536855 75273409625 81295282395 87317155165 93339027935 99360900705 105382773475 111404646245
Case #75:  93 279 465 651 837 1023 1209 1395 1581 1767 1953 2139 2325 2511 2697 2883 3069 3255 3441 3627 3813 3999 4185 4371 4557 4743 4929 5115 5301 5487 5673 5859 6045 6231 6417 6603 6789 6975 7161 7347 7533 7719 7905 8091 8277 8463
Case #76:  17714700000000001 53144100000000003 88573500000000005 124002900000000007 159432300000000009 194861700000000011 230291100000000013 265720500000000015 301149900000000017 336579300000000019 372008700000000021 407438100000000023 442867500000000025 478296900000000027 513726300000000029
Case #77:  66 198 330 462 594 726 858 990 1122 1254 1386 1518 1650 1782 1914 2046 2178 2310 2442 2574 2706 2838 2970 3102 3234 3366 3498 3630 3762 3894 4026 4158 4225
Case #78:  54873 164619 274365 384111 493857 603603 713349 823095 932841 1042587 1152333 1262079 1371825 1481571 1591317 1701063 1810809 1920555 2030301
Case #79:  1
Case #80:  5559060566555524 16677181699666570
Case #81:  8293509467471873 24880528402415619 41467547337359365 58054566272303111 74641585207246857 91228604142190603 107815623077134349 124402642012078095 140989660947021841 157576679881965587 174163698816909333 190750717751853079 207337736686796825 223924755621740571
Case #82:  6085 18255 30425 42595 54765 66935 79105 91275 103445 115615 127785 139955 152125 164295 176465 188635 200805 212975 225145 237315 249485 261655 273825 285995 298165 310335 322505 334675 346845 359015 371185 383355 395525 407695 419865 432035 444205 456375 468545
Case #83:  33232930569602 99698791708806 166164652848010 232630513987214 299096375126418 365562236265622 432028097404826 498493958544030 564959819683234 631425680822438 697891541961642 764357403100846 830823264240050 897289125379254 963754986518458 1030220847657662 1096686708796866 1163152569936070 1229618431075274 1296084292214478 1362550153353682 1429016014492886 1495481875632090 1561947736771294 1628413597910449
Case #84:  30840979457 92522938371 154204897285 215886856199 277568815113 339250774027 400932732941 462614691855 524296650769 585978609683 647660568597 709342527511 771024486425 832706445339 894388404253 956070363167 1017752322081 1079434280995 1141116239909 1202798198823 1264480157737 1326162116651 1387844075565 1449526034479 1511207993393 1572889952307 1634571911221 1696253870135
Case #85:  6321363050 18964089150 31606815250 44249541350 56892267450 69534993550 82177719650 94820445750 107463171850 120105897950 132748624050 145391350150 158034076250 170676802350 183319528450 195962254550 208604980650 221247706750 233890432850 246533158950 259175885050 271818611107
Case #86:  897410677852 2692232033556 4487053389260 6281874744964 8076696100668 9871517456372 11666338812076 13461160167780 15255981523484 17050802879188 18845624234892 20640445590596 22435266946300 24230088302004 26024909657708 27819731013412 29614552369116 31409373724820 33204195080524 34999016436228 36793837791932 38588659147636 40383480503340 42178301859044 43973123214748 45767944570401
Case #87:  810001 2430003 4050005 5670007 7290009 8910011 10530013 12150015 13770017 15390019 17010021 18630023 20250025 21870027 23490029
Case #88:  2015993900450 6047981701350 10079969502250 14111957303150 18143945104050 22175932904950 26207920705850 30239908506750 34271896307633
Case #89:  46 138 230 322 414 506 598 690 782 874 966 1058 1150 1242 1334 1426 1518 1610 1702 1794 1886 1978 2025
Case #90:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
Case #91:  81450626 244351878 407253130 570154382 733055634 895956886 1058858138 1221759390 1384660642 1547561894 1710463146 1873364398 2036265650 2199166902 2362068154 2524969406 2687870658 2850771910 3013673162 3176574414 3339475666 3502376918 3665278170 3828179422 3991080674 4153981926 4316883178 4479784430 4642685682 4805586934 4968488186 5131389438 5294290690 5457191942 5620093194 5782994446 5945895698 6108796950 6271698202 6434599454 6597500706 6760401958 6923303210 7086204462 7249105714 7412006966 7574908218 7737809375
Case #92:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87
Case #93:  10001 30003 50005 70007 90009 110011 130013 150015 170017 190019 210021 230023 250025 270027 290029 310031 330033 350035 370037 390039 410041 430043 450045 470047 490049 510051 530053 550055 570057 590059 610061 630063 650065 670067 690069 710071 730073 750075 770077 790079 810081 830083 850085 870087 890089 910091 930093 950095 970097 990099
Case #94:  743008370689 2229025112067 3715041853445 5201058594823 6687075336201 8173092077579
Case #95:  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
Case #96:  1
Case #97:  2779905883635713 8339717650907139 13899529418178565 19459341185449991 25019152952721417 30578964719992843 36138776487264269 41698588254535695 47258400021807121 52818211789078547 58378023556349973 63937835323621399 69497647090892825 75057458858164251 80617270625435677 86177082392707103 91736894159978529 97296705927249955 102856517694521381 108416329461792807 113976141229064233 119535952996335659 125095764763607085 130655576530878511 136215388298149937 141775200065421363
Case #98:  9
Case #99:  151334226290 454002678870 756671131450 1059339584030 1362008036610 1664676489190 1967344941770 2270013394350 2572681846930 2875350299510 3178018752090 3480687204670 3783355657250 4086024109830 4388692562410 4691361014990 4994029467570 5296697920150 5599366372730 5902034825310 6204703277890 6507371730470 6810040183050 7112708635630 7415377088210 7718045540790 8020713993370 8323382445950 8626050898530 8928719351110 9231387803690 9534056256270 9836724708850 10139393161430 10442061614010 10744730066590 11047398519097
Case #100:  28 81
